columnApiName,Description
Accessory_Division__c,Accessory business division code associated with the account (observed categorical values such as WIRE; often empty)
Accessory_Region__c,Accessory sales or operational region code for the account (observed short codes like HSEW; often empty)
Accessory_Territory__c,Accessory sales or operational territory code for the account (observed short codes like HSEW; often empty)
Active_Dispatcher_Count__c,Number of active dispatchers associated with the account (numeric count, observed as 0)
Active_Technician_Count__c,Number of active technicians associated with the account (numeric count, observed as 0)
Add_to_Agreements__pc,Flag indicating whether the account should be added to agreements or contracts (boolean)
Already_Migrated__c,Flag indicating whether the account has already been migrated from a legacy system or process (boolean)
Appt_required__c,Flag indicating whether appointments are required for this account (boolean)
ATT_Footprint__c,Flag indicating whether the account falls within the AT&T operational footprint (boolean)
AT_T_ASM_Managed__c,Flag indicating whether the account is managed by an AT&T ASM (Account/Sales Manager) (boolean)
Background_Check_Activated_Count__c,Count of activated background checks associated with the account (numeric count, observed as 0)
BillingCity,Billing city associated with the account address (text; e.g., New York, Toronto, San Francisco)
BillingCountry,Billing country associated with the account address (text; e.g., United States, Canada)
BillingCountryCode,ISO or short country code for the billing country (text; e.g., US, CA)
BillingPostalCode,Billing postal or ZIP code associated with the account address (text; numeric/alphanumeric)
BillingState,Billing state or province name associated with the account address (text; e.g., New York, Ontario, California)
BillingStateCode,State or province code associated with the billing address (text; e.g., NY, ON, CA)
BillingStreet,Street address portion of the billing address (text)
Blacklisted_Programs__c,Programs or services for which the account is blacklisted (text; observed values include DirecTV; often empty)
Business_Unit__c,Business unit associated with the account (text; observed value Perfect Vision)
Chuzo_Member__pc,Flag indicating whether the account is a Chuzo member (boolean)
Compliance_Status_Activated_Count__c,Count of activated compliance status records associated with the account (numeric count, observed as 0)
Consent_to_Automated_Communications__c,Flag indicating whether the account has consented to automated communications (boolean)
CreatedById,Salesforce ID of the user or system that created the account record
CreatedDate,Date and time when the account record was created (UTC timestamp)
Created_by_Brightspeed_API__c,Flag indicating whether the account record was created via the Brightspeed API integration (boolean)
Credit_Check_Activated_Count__c,Count of activated credit checks associated with the account (numeric count, observed as 0)
CurrencyIsoCode,ISO currency code associated with the account (text; observed value USD)
